Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,,,Tajikistan,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
TZA,,,Tanzania,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
THA,,,Thailand,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
GMB,,,The Gambia,,,,,The Gambia,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TGO,,,Togo,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TTO,,,Trinidad and Tobago,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
TUN,,,Tunisia,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,
